run_id,ACO_UNWIND_THRESHOLD,ACO_TAKE_PROFIT,ACO_PRICE_OFFSET,ACO_PRC_SKEW1,ACO_PRC_SKEW2,ACO_SKEW_LEVEL1,ACO_SKEW_LEVEL2,ACO_MA_WINDOW,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
217,10,10,1,2,3,40,65,5,300979.0,52707.0,248272.0,10.88
218,10,10,1,2,3,40,65,10,301112.0,52840.0,248272.0,11.06
219,10,10,1,2,3,40,75,5,300979.0,52707.0,248272.0,10.92
220,10,10,1,2,3,40,75,10,301112.0,52840.0,248272.0,11.05
221,10,10,1,2,3,50,65,5,301143.0,52871.0,248272.0,10.94
222,10,10,1,2,3,50,65,10,301268.0,52996.0,248272.0,11.05
223,10,10,1,2,3,50,75,5,301143.0,52871.0,248272.0,10.94
224,10,10,1,2,3,50,75,10,301268.0,52996.0,248272.0,11.16
225,10,10,2,1,2,40,65,5,294876.0,46604.0,248272.0,10.92
226,10,10,2,1,2,40,65,10,295000.0,46728.0,248272.0,11.04
227,10,10,2,1,2,40,75,5,294876.0,46604.0,248272.0,10.95
228,10,10,2,1,2,40,75,10,295000.0,46728.0,248272.0,11.05
229,10,10,2,1,2,50,65,5,294958.0,46686.0,248272.0,10.94
230,10,10,2,1,2,50,65,10,295078.0,46806.0,248272.0,11.11
231,10,10,2,1,2,50,75,5,294958.0,46686.0,248272.0,10.97
232,10,10,2,1,2,50,75,10,295078.0,46806.0,248272.0,11.03
233,10,10,2,1,3,40,65,5,294876.0,46604.0,248272.0,11.02
234,10,10,2,1,3,40,65,10,295000.0,46728.0,248272.0,10.99
235,10,10,2,1,3,40,75,5,294876.0,46604.0,248272.0,10.99
236,10,10,2,1,3,40,75,10,295000.0,46728.0,248272.0,11.02
237,10,10,2,1,3,50,65,5,294958.0,46686.0,248272.0,10.93
238,10,10,2,1,3,50,65,10,295078.0,46806.0,248272.0,10.98
239,10,10,2,1,3,50,75,5,294958.0,46686.0,248272.0,10.94
240,10,10,2,1,3,50,75,10,295078.0,46806.0,248272.0,10.96
241,10,10,2,2,2,40,65,5,294778.0,46506.0,248272.0,10.96
242,10,10,2,2,2,40,65,10,294912.0,46640.0,248272.0,11.01
243,10,10,2,2,2,40,75,5,294778.0,46506.0,248272.0,10.92
244,10,10,2,2,2,40,75,10,294912.0,46640.0,248272.0,11.04
245,10,10,2,2,2,50,65,5,294942.0,46670.0,248272.0,10.87
